<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20230611,128000.00,129995.00,124501.00,126931.00,167277259674,1317862,1118,D,128962.00,124630.00
Kian.Gold.ETF,20230610,131000.00,131839.00,127110.00,128962.00,246552179025,1911820,1387,D,131839.00,129300.00
Kian.Gold.ETF,20230607,134400.00,135000.00,130000.00,131839.00,236680901593,1795228,1362,D,135584.00,131325.00
Kian.Gold.ETF,20230606,135302.00,137600.00,134831.00,135584.00,80305758475,592297,732,D,135302.00,135160.00
Kian.Gold.ETF,20230603,135989.00,136000.00,134350.00,135302.00,116408568050,860364,848,D,135343.00,135300.00
Kian.Gold.ETF,20230531,136734.00,136734.00,134502.00,135343.00,235601745118,1740779,1318,D,138642.00,134770.00
Kian.Gold.ETF,20230530,138550.00,139548.00,137510.00,138642.00,337906825908,2437257,1125,D,138931.00,139298.00
Kian.Gold.ETF,20230529,138980.00,141999.00,137500.00,138931.00,631540977001,4545707,1799,D,138253.00,139869.00
Kian.Gold.ETF,20230528,138999.00,140900.00,136700.00,138253.00,271326707293,1962541,1289,D,141384.00,137604.00
Kian.Gold.ETF,20230527,142110.00,142640.00,139913.00,141384.00,269684241202,1907465,1358,D,144381.00,140340.00
Kian.Gold.ETF,20230524,145999.00,145999.00,143302.00,144381.00,187296769445,1297244,918,D,145095.00,144566.00
Kian.Gold.ETF,20230523,146855.00,146855.00,143000.00,145095.00,208867958063,1439525,1271,D,146542.00,144890.00
Kian.Gold.ETF,20230522,145001.00,147499.00,145001.00,146542.00,260161740553,1775334,1484,D,142438.00,146602.00
Kian.Gold.ETF,20230521,142168.00,144650.00,140500.00,142438.00,1181406061459,8294177,2542,D,138608.00,143670.00
Kian.Gold.ETF,20230520,136900.00,140500.00,136010.00,138608.00,165040246445,1190699,1374,D,137917.00,140457.00
Kian.Gold.ETF,20230517,139500.00,140900.00,136800.00,137917.00,441258652715,3199449,1985,D,140757.00,136900.00
Kian.Gold.ETF,20230515,141000.00,141460.00,139500.00,140757.00,351731147079,2498852,1381,D,142799.00,141280.00
